,name,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage(km/ltr/kg),engine,max_power,seats,car_age,company,full_name
45,Fortuner 4x4 MT,1500000,77000,Diesel,Dealer,Manual,First Owner,12.55,2982.0,168.5,7,11,Toyota,Toyota Fortuner 4x4 MT
46,Innova 2.5 G (Diesel) 7 Seater BS IV,700000,99000,Diesel,Dealer,Manual,First Owner,12.99,2494.0,100.0,7,12,Toyota,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV
47,B Class B180,1450000,27800,Diesel,Dealer,Automatic,Second Owner,14.8,2143.0,120.7,5,11,Mercedes-Benz,Mercedes-Benz B Class B180
48,Amaze S Diesel,425000,49800,Diesel,Dealer,Manual,First Owner,24.7,1498.0,98.63,5,10,Honda,Honda Amaze S Diesel
49,Pajero Sport 4X4,1090000,151000,Diesel,Dealer,Manual,First Owner,13.5,2477.0,175.56,7,12,Mitsubishi,Mitsubishi Pajero Sport 4X4
50,City i DTEC S,600000,54700,Diesel,Dealer,Manual,First Owner,26.0,1498.0,98.6,5,10,Honda,Honda City i DTEC S
51,Ciaz Zeta,850000,64000,Petrol,Dealer,Manual,First Owner,20.65,1462.0,103.25,5,7,Maruti,Maruti Ciaz Zeta
52,Jazz VX Diesel,525000,63000,Diesel,Dealer,Manual,First Owner,27.3,1498.0,98.6,5,10,Honda,Honda Jazz VX Diesel
53,Innova Crysta 2.8 ZX AT BSIV,1650000,127700,Diesel,Dealer,Automatic,Second Owner,11.36,2755.0,171.5,7,9,Toyota,Toyota Innova Crysta 2.8 ZX AT BSIV
54,Innova 2.5 G (Diesel) 7 Seater,950000,99000,Diesel,Dealer,Manual,First Owner,12.99,2494.0,100.6,7,9,Toyota,Toyota Innova 2.5 G (Diesel) 7 Seater
55,A6 2.0 TDI Technology,1750000,33900,Diesel,Dealer,Automatic,Second Owner,17.68,1968.0,174.33,5,12,Audi,Audi A6 2.0 TDI Technology
56,Corolla Altis 1.8 VL CVT,1590000,25000,Petrol,Dealer,Automatic,First Owner,14.28,1798.0,138.03,5,7,Toyota,Toyota Corolla Altis 1.8 VL CVT
57,A6 2.0 TDI Design Edition,1689999,50000,Diesel,Dealer,Automatic,First Owner,18.53,1968.0,187.74,5,12,Audi,Audi A6 2.0 TDI  Design Edition
58,New C-Class 220 CDI AT,1425000,59000,Diesel,Dealer,Automatic,First Owner,14.84,2143.0,170.0,5,12,Mercedes-Benz,Mercedes-Benz New C-Class 220 CDI AT
59,Manza ELAN Quadrajet BS IV,265000,120000,Diesel,Individual,Manual,First Owner,21.12,1248.0,88.8,5,14,Tata,Tata Manza ELAN Quadrajet BS IV
60,i10 Magna,190000,110000,Petrol,Individual,Manual,Third Owner,20.36,1197.0,78.9,5,14,Hyundai,Hyundai i10 Magna
61,i20 Asta 1.4 CRDi,425000,60000,Diesel,Individual,Manual,First Owner,21.27,1396.0,88.76,5,12,Hyundai,Hyundai i20 Asta 1.4 CRDi
62,Swift Dzire ZDI,630000,147000,Diesel,Individual,Manual,Second Owner,26.59,1248.0,74.0,5,10,Maruti,Maruti Swift Dzire ZDI
63,Figo 1.2P Titanium MT,600000,25000,Petrol,Individual,Manual,Third Owner,18.16,1196.0,86.8,5,8,Ford,Ford Figo 1.2P Titanium MT
64,Baleno Delta 1.2,650000,30000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5,6,Maruti,Maruti Baleno Delta 1.2
65,Ameo 1.5 TDI Highline 16 Alloy,540000,40000,Diesel,Individual,Manual,First Owner,22.0,1498.0,108.495,5,9,Volkswagen,Volkswagen Ameo 1.5 TDI Highline 16 Alloy
66,City i DTEC VX,630000,135000,Diesel,Individual,Manual,First Owner,25.1,1498.0,98.6,5,10,Honda,Honda City i DTEC VX
67,Wagon R AMT VXI,448000,30000,Petrol,Individual,Automatic,First Owner,20.51,998.0,67.0,5,7,Maruti,Maruti Wagon R AMT VXI
68,Ameo 1.5 TDI Comfortline,500000,80000,Diesel,Individual,Manual,First Owner,21.66,1498.0,108.62,5,8,Volkswagen,Volkswagen Ameo 1.5 TDI Comfortline
69,Vitara Brezza VDi,745000,70000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5,9,Maruti,Maruti Vitara Brezza VDi
70,Vitara Brezza ZDi Plus AMT,1025000,9850,Diesel,Individual,Automatic,First Owner,24.3,1248.0,88.5,5,6,Maruti,Maruti Vitara Brezza ZDi Plus AMT
71,i10 Magna,235000,60000,Petrol,Individual,Manual,Second Owner,20.36,1197.0,78.9,5,14,Hyundai,Hyundai i10 Magna
72,Swift VDI Deca,630000,70000,Diesel,Individual,Manual,First Owner,25.2,1248.0,74.0,5,9,Maruti,Maruti Swift VDI Deca
73,Fortuner 4x4 MT,1700000,78000,Diesel,Individual,Manual,Second Owner,12.55,2982.0,168.5,7,10,Toyota,Toyota Fortuner 4x4 MT
74,Swift Star VDI,450000,120000,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,5,12,Maruti,Maruti Swift Star VDI
75,Ertiga ZXI,450000,120000,Petrol,Individual,Manual,Second Owner,16.02,1373.0,93.7,7,13,Maruti,Maruti Ertiga ZXI
76,Vento Diesel Highline,450000,170000,Diesel,Individual,Manual,First Owner,20.54,1598.0,103.6,5,12,Volkswagen,Volkswagen Vento Diesel Highline
77,Innova 2.5 VX (Diesel) 8 Seater,1200000,140000,Diesel,Individual,Manual,First Owner,12.99,2494.0,100.6,8,9,Toyota,Toyota Innova 2.5 VX (Diesel) 8 Seater
78,EcoSport 1.5 TDCi Titanium Plus BSIV,610000,90000,Diesel,Individual,Manual,First Owner,22.77,1498.0,98.59,5,10,Ford,Ford EcoSport 1.5 TDCi Titanium Plus BSIV
79,X1 sDrive20i xLine,2500000,30000,Petrol,Individual,Automatic,Second Owner,15.71,1998.0,189.0,5,9,BMW,BMW X1 sDrive20i xLine
80,Celerio ZXI MT BSIV,484999,10000,Petrol,Dealer,Manual,First Owner,23.1,998.0,67.04,5,8,Maruti,Maruti Celerio ZXI MT BSIV
81,GO A Petrol,275000,49000,Petrol,Dealer,Manual,First Owner,19.02,1198.0,67.05,5,9,Datsun,Datsun GO A Petrol
82,Alto 800 VXI BSIV,315000,32000,Petrol,Dealer,Manual,First Owner,24.7,796.0,47.3,5,9,Maruti,Maruti Alto 800 VXI BSIV
83,Alto 800 LXI BSIV,275000,38000,Petrol,Dealer,Manual,First Owner,24.7,796.0,47.3,5,9,Maruti,Maruti Alto 800 LXI BSIV
84,i10 Era 1.1,290000,28000,Petrol,Dealer,Manual,First Owner,19.81,1086.0,68.05,5,13,Hyundai,Hyundai i10 Era 1.1
85,Omni 8 Seater BSIV,280000,32000,Petrol,Dealer,Manual,First Owner,14.0,796.0,35.0,5,8,Maruti,Maruti Omni 8 Seater BSIV
86,Wagon R LXI LPG BSIV,225000,44000,LPG,Dealer,Manual,First Owner,26.2,998.0,58.2,5,15,Maruti,Maruti Wagon R LXI LPG BSIV
87,Polo 1.2 MPI Comfortline,455000,42000,Petrol,Dealer,Manual,First Owner,16.47,1198.0,74.0,5,10,Volkswagen,Volkswagen Polo 1.2 MPI Comfortline
88,i10 Magna 1.1L,351000,45000,Petrol,Dealer,Manual,Second Owner,19.81,1086.0,68.05,5,10,Hyundai,Hyundai i10 Magna 1.1L
89,Vento Petrol Highline,535000,12000,Petrol,Dealer,Manual,Second Owner,15.04,1598.0,103.6,5,13,Volkswagen,Volkswagen Vento Petrol Highline
90,Zen Estilo LXI BSIII,175000,55500,Petrol,Dealer,Manual,First Owner,18.2,998.0,67.1,5,16,Maruti,Maruti Zen Estilo LXI BSIII
91,i20 Asta Optional with Sunroof 1.2,525000,61500,Petrol,Dealer,Manual,First Owner,18.5,1197.0,82.85,5,12,Hyundai,Hyundai i20 Asta Optional with Sunroof 1.2
92,Swift Dzire LDI,600000,150000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5,9,Maruti,Maruti Swift Dzire LDI
93,Xcent 1.2 Kappa SX Option AT,565000,72000,Petrol,Dealer,Automatic,First Owner,19.1,1197.0,82.0,5,9,Hyundai,Hyundai Xcent 1.2 Kappa SX Option AT
94,Alto LX BSIII,120000,68000,Petrol,Dealer,Manual,Third Owner,19.7,796.0,46.3,5,17,Maruti,Maruti Alto LX BSIII
95,i20 1.4 Asta Option,725000,110000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5,8,Hyundai,Hyundai i20 1.4 Asta Option
96,Wagon R VXI,185000,77000,Petrol,Dealer,Manual,Second Owner,21.79,998.0,67.05,5,16,Maruti,Maruti Wagon R VXI
97,Manza Aura (ABS) Quadrajet,200000,100000,Diesel,Individual,Manual,Second Owner,18.8,1248.0,90.0,5,15,Tata,Tata Manza Aura (ABS) Quadrajet
98,Swift VXI,615000,10000,Petrol,Individual,Manual,First Owner,21.21,1197.0,81.8,5,6,Maruti,Maruti Swift VXI
99,Eeco 7 Seater Standard BSIV,270000,100000,Petrol,Individual,Manual,Third Owner,15.37,1196.0,73.0,7,9,Maruti,Maruti Eeco 7 Seater Standard BSIV
100,Baleno Zeta 1.2,610000,35000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5,7,Maruti,Maruti Baleno Zeta 1.2
101,Scorpio VLX AT AIRBAG BSIV,625000,70000,Diesel,Individual,Automatic,Second Owner,11.79,2179.0,120.0,8,11,Mahindra,Mahindra Scorpio VLX AT AIRBAG BSIV
102,Freestyle Titanium Petrol BSIV,400000,5000,Petrol,Individual,Manual,Second Owner,19.0,1194.0,94.68,5,5,Ford,Ford Freestyle Titanium Petrol BSIV
103,Verna VTVT 1.6 SX,866000,37800,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,5,8,Hyundai,Hyundai Verna VTVT 1.6 SX
104,Passat 1.8 TSI MT,700000,114000,Petrol,Individual,Manual,First Owner,14.3,1798.0,160.0,5,15,Volkswagen,Volkswagen Passat 1.8 TSI MT
105,Indica Vista Aura 1.2 Safire (ABS) BS IV,300000,48000,Petrol,Individual,Manual,First Owner,15.8,1172.0,65.0,5,15,Tata,Tata Indica Vista Aura 1.2 Safire (ABS) BS IV
106,XUV500 W11 Option AWD,1700000,32000,Diesel,Individual,Manual,First Owner,15.1,2179.0,155.0,7,6,Mahindra,Mahindra XUV500 W11 Option AWD
107,Indigo CS LS (TDI) BS-III,375000,100000,Diesel,Individual,Manual,First Owner,19.09,1405.0,69.01,5,9,Tata,Tata Indigo CS LS (TDI) BS-III
108,Verna 1.6 SX,522000,150000,Diesel,Individual,Manual,Second Owner,22.32,1582.0,126.32,5,12,Hyundai,Hyundai Verna 1.6 SX
109,i20 Magna 1.4 CRDi (Diesel),451999,69000,Diesel,Individual,Manual,First Owner,21.9,1396.0,88.76,5,12,Hyundai,Hyundai i20 Magna 1.4 CRDi (Diesel)
110,Corolla Altis G,300000,100000,Petrol,Individual,Manual,Second Owner,14.53,1798.0,138.1,5,16,Toyota,Toyota Corolla Altis G
111,Celerio VXI,475000,13000,Petrol,Individual,Manual,First Owner,21.63,998.0,67.04,5,5,Maruti,Maruti Celerio VXI
112,Vitara Brezza ZDi Plus Dual Tone,780000,60000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5,9,Maruti,Maruti Vitara Brezza ZDi Plus Dual Tone
113,Swift Dzire VXI,595000,40000,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.14,5,8,Maruti,Maruti Swift Dzire VXI
114,Wagon R VXI BS IV,440000,35000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5,8,Maruti,Maruti Wagon R VXI BS IV
115,Terrano XL 85 PS,400000,70000,Diesel,Individual,Manual,Third Owner,20.45,1461.0,83.8,5,11,Nissan,Nissan Terrano XL 85 PS
116,Creta 1.6 CRDi SX,1140000,50000,Diesel,Individual,Manual,First Owner,19.67,1582.0,126.2,5,9,Hyundai,Hyundai Creta 1.6 CRDi SX
117,EcoSport 1.5 Diesel Titanium Plus BSIV,850000,76139,Diesel,Individual,Manual,First Owner,23.0,1498.0,98.96,5,8,Ford,Ford EcoSport 1.5 Diesel Titanium Plus BSIV
118,Swift Dzire VDi,370000,175000,Diesel,Individual,Manual,Fourth & Above Owner,19.3,1248.0,73.9,5,13,Maruti,Maruti Swift Dzire VDi
119,KWID 1.0,350000,25000,Petrol,Individual,Manual,First Owner,23.01,999.0,67.0,5,7,Renault,Renault KWID 1.0
120,Celerio VXI,360000,40000,Petrol,Individual,Manual,Second Owner,23.1,998.0,67.04,5,10,Maruti,Maruti Celerio VXI
121,Alto LXi,105000,65000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796.0,46.3,5,17,Maruti,Maruti Alto LXi
122,Ertiga VDI,625000,90000,Diesel,Individual,Manual,Second Owner,20.77,1248.0,88.76,7,12,Maruti,Maruti Ertiga VDI
123,Santro Xing GLS,135000,80000,Petrol,Individual,Manual,Second Owner,17.92,1086.0,62.1,5,16,Hyundai,Hyundai Santro Xing GLS
124,Ertiga VDI,700000,110000,Diesel,Individual,Manual,Second Owner,20.77,1248.0,88.76,7,10,Maruti,Maruti Ertiga VDI
125,Amaze S i-VTEC,690000,1303,Petrol,Dealer,Manual,First Owner,17.8,1198.0,86.7,5,6,Honda,Honda Amaze S i-VTEC
126,Q5 35TDI Premium Plus,3975000,31800,Diesel,Dealer,Automatic,First Owner,17.01,1968.0,188.0,5,7,Audi,Audi Q5 35TDI Premium Plus
127,ES 300h,5150000,20000,Petrol,Dealer,Automatic,First Owner,22.37,2487.0,214.56,5,6,Lexus,Lexus ES 300h
128,XF 2.0 Diesel Portfolio,3200000,45000,Diesel,Dealer,Automatic,First Owner,19.33,1999.0,177.0,5,8,Jaguar,Jaguar XF 2.0 Diesel Portfolio
129,Wrangler 2016-2019 3.6 4X4,4100000,17000,Petrol,Individual,Automatic,First Owner,9.5,3604.0,280.0,5,8,Jeep,Jeep Wrangler 2016-2019 3.6 4X4
130,Rover Discovery Sport TD4 SE,4500000,21000,Diesel,Dealer,Automatic,First Owner,12.83,1999.0,148.31,7,6,Land,Land Rover Discovery Sport TD4 SE
131,S-Class S 350 CDI,6000000,37000,Diesel,Dealer,Automatic,First Owner,13.5,2987.0,254.79,5,8,Mercedes-Benz,Mercedes-Benz S-Class S 350 CDI
132,5 Series 520d Sport Line,3790000,29500,Diesel,Dealer,Automatic,First Owner,22.48,1995.0,187.74,5,7,BMW,BMW 5 Series 520d Sport Line
133,X4 M Sport X xDrive20d,5800000,7500,Diesel,Dealer,Automatic,First Owner,16.78,1995.0,190.0,5,6,BMW,BMW X4 M Sport X xDrive20d
134,Superb LK 1.8 TSI AT,1864999,50000,Petrol,Dealer,Automatic,First Owner,14.67,1798.0,177.46,5,7,Skoda,Skoda Superb LK 1.8 TSI AT
135,E-Class E250 Edition E,2700000,35000,Diesel,Dealer,Automatic,First Owner,15.0,2143.0,204.0,5,9,Mercedes-Benz,Mercedes-Benz E-Class E250 Edition E
136,Hector Sharp AT BSIV,1750000,19000,Petrol,Dealer,Automatic,First Owner,13.96,1451.0,141.0,5,6,MG,MG Hector Sharp AT BSIV
137,City i-VTEC CVT VX,795000,41000,Petrol,Dealer,Automatic,First Owner,18.0,1497.0,117.6,5,8,Honda,Honda City i-VTEC CVT VX
138,Corolla Altis 1.8 G CVT,625000,39000,Petrol,Dealer,Automatic,First Owner,14.28,1798.0,138.03,5,12,Toyota,Toyota Corolla Altis 1.8 G CVT
139,XC40 D4 R-Design,3400000,22000,Diesel,Dealer,Automatic,First Owner,18.0,1969.0,190.0,5,7,Volvo,Volvo XC40 D4 R-Design
140,Q7 35 TDI Quattro Premium,2650000,53000,Diesel,Dealer,Automatic,First Owner,12.07,2967.0,241.4,7,10,Audi,Audi Q7 35 TDI Quattro Premium
141,Ciaz ZDi,535000,40000,Diesel,Dealer,Manual,First Owner,26.21,1248.0,88.5,5,10,Maruti,Maruti Ciaz ZDi
142,S-Class S 350 CDI,5850000,47000,Diesel,Dealer,Automatic,First Owner,13.5,2987.0,282.0,5,8,Mercedes-Benz,Mercedes-Benz S-Class S 350 CDI
143,5 Series 523i,975000,72200,Petrol,Dealer,Automatic,Second Owner,10.8,2497.0,150.0,5,15,BMW,BMW 5 Series 523i
144,Elantra S,805000,49900,Petrol,Dealer,Manual,First Owner,16.3,1797.0,147.5,5,9,Hyundai,Hyundai Elantra S
145,XE 2016-2019 2.0L Diesel Prestige,2625000,9000,Diesel,Dealer,Automatic,First Owner,13.6,1999.0,177.0,5,8,Jaguar,Jaguar XE 2016-2019 2.0L Diesel Prestige
146,Nexon 1.2 Revotron XZ Plus Dual Tone,811000,11000,Petrol,Dealer,Manual,First Owner,17.0,1198.0,108.5,5,7,Tata,Tata Nexon 1.2 Revotron XZ Plus Dual Tone
147,Vento Petrol Highline,375000,49000,Petrol,Individual,Manual,First Owner,15.04,1598.0,103.6,5,14,Volkswagen,Volkswagen Vento Petrol Highline
148,Elantra SX,550000,95000,Petrol,Individual,Manual,First Owner,16.3,1797.0,147.5,5,13,Hyundai,Hyundai Elantra SX
149,Rapid 1.6 MPI AT Elegance,645000,11000,Petrol,Dealer,Automatic,First Owner,14.3,1598.0,103.5,5,9,Skoda,Skoda Rapid 1.6 MPI AT Elegance
150,CLA 200 CGI Sport,2550000,18000,Petrol,Dealer,Automatic,First Owner,15.04,1991.0,183.0,5,7,Mercedes-Benz,Mercedes-Benz CLA 200 CGI Sport
151,Ertiga ZXI,599000,46100,Petrol,Dealer,Manual,First Owner,16.02,1373.0,93.7,7,11,Maruti,Maruti Ertiga ZXI
152,New C-Class C 200 AVANTGARDE,2700000,16000,Petrol,Dealer,Automatic,First Owner,14.74,1991.0,181.04,5,8,Mercedes-Benz,Mercedes-Benz New C-Class C 200 AVANTGARDE
153,City V AT,875000,18000,Petrol,Dealer,Automatic,First Owner,15.6,1497.0,116.3,5,8,Honda,Honda City V AT
154,Glanza V CVT,894999,9654,Petrol,Dealer,Automatic,First Owner,19.56,1197.0,81.8,5,6,Toyota,Toyota Glanza V CVT
155,Alto K10 VXI,175000,11000,Petrol,Dealer,Manual,First Owner,23.95,998.0,67.05,5,14,Maruti,Maruti Alto K10 VXI
156,Swift VXI,340000,24300,Petrol,Dealer,Manual,First Owner,21.21,1197.0,81.8,5,13,Maruti,Maruti Swift VXI
157,Innova Crysta 2.8 ZX AT BSIV,1525000,42163,Diesel,Dealer,Automatic,Second Owner,11.36,2755.0,171.5,7,9,Toyota,Toyota Innova Crysta 2.8 ZX AT BSIV
158,Nexon 1.5 Revotorq XZA Plus DualTone,1025000,8000,Diesel,Dealer,Automatic,First Owner,21.5,1497.0,108.5,5,7,Tata,Tata Nexon 1.5 Revotorq XZA Plus DualTone
159,3 Series 320d Luxury Line,2150000,30000,Diesel,Dealer,Automatic,First Owner,22.69,1995.0,190.0,5,9,BMW,BMW 3 Series 320d Luxury Line
160,Camry 2.5 Hybrid,1900000,41000,Petrol,Dealer,Automatic,First Owner,19.16,2494.0,157.7,5,9,Toyota,Toyota Camry 2.5 Hybrid
161,5 Series 520d Luxury Line,2900000,12000,Diesel,Dealer,Automatic,First Owner,18.12,1995.0,190.0,5,9,BMW,BMW 5 Series 520d Luxury Line
162,Camry W4 (AT),450000,71000,Petrol,Dealer,Automatic,First Owner,12.1,2362.0,164.7,5,16,Toyota,Toyota Camry W4 (AT)
163,Ertiga BSIV ZXI Plus,850000,20000,Petrol,Individual,Manual,First Owner,17.5,1373.0,91.1,7,9,Maruti,Maruti Ertiga BSIV ZXI Plus
164,XC90 T8 Excellence BSIV,10000000,30000,Petrol,Individual,Automatic,First Owner,42.0,1969.0,400.0,4,8,Volvo,Volvo XC90 T8 Excellence BSIV
165,Vento Diesel Highline,300000,100000,Diesel,Individual,Manual,Second Owner,20.54,1598.0,103.6,5,14,Volkswagen,Volkswagen Vento Diesel Highline
166,Figo Aspire 1.2 Ti-VCT Trend,575000,9500,Petrol,Individual,Manual,First Owner,18.16,1196.0,86.8,5,7,Ford,Ford Figo Aspire 1.2 Ti-VCT Trend
167,Figo Diesel LXI,160000,120000,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.0,5,14,Ford,Ford Figo Diesel LXI
168,Swift VXI Optional,515000,36600,Petrol,Individual,Manual,First Owner,20.4,1197.0,81.8,5,10,Maruti,Maruti Swift VXI Optional
169,Wagon R AMT VXI,390000,50000,Petrol,Individual,Automatic,Second Owner,20.51,998.0,67.0,5,10,Maruti,Maruti Wagon R AMT VXI
170,i20 Magna 1.2,550000,14000,Petrol,Individual,Manual,Second Owner,18.6,1197.0,81.83,5,9,Hyundai,Hyundai i20 Magna 1.2
